,negative,positive,total
alimoni,1.0,0.0,1.0
alin,3.0,3.0,6.0
alisa,0.0,1.0,1.0
alisan,0.0,5.0,5.0
alisand,1.0,0.0,1.0
alison,11.0,33.0,44.0
alistair,2.0,3.0,5.0
alita,1.0,0.0,1.0
alittl,0.0,6.0,6.0
aliv,475.0,496.0,971.0
alix,1.0,0.0,1.0
alja,2.0,0.0,2.0
aljoscha,1.0,0.0,1.0
alka,0.0,4.0,4.0
alkward,0.0,1.0,1.0
all,170.0,147.0,317.0
alla,0.0,2.0,2.0
allah,2.0,2.0,4.0
allain,0.0,1.0,1.0
allan,6.0,7.0,13.0
allana,0.0,7.0,7.0
allay,1.0,3.0,4.0
alleb,1.0,0.0,1.0
alledg,0.0,1.0,1.0
alleg,117.0,55.0,172.0
allegi,0.0,1.0,1.0
allegor,9.0,26.0,35.0
allegori,5.0,5.0,10.0
allegra,0.0,14.0,14.0
allen,162.0,165.0,327.0
allend,7.0,0.0,7.0
allenish,0.0,1.0,1.0
allerg,16.0,12.0,28.0
allergi,2.0,0.0,2.0
allevi,10.0,7.0,17.0
alley,9.0,16.0,25.0
alleyway,3.0,2.0,5.0
alli,58.0,61.0,119.0
allingham,0.0,1.0,1.0
allison,8.0,11.0,19.0
allllllllllllllllllllllllllllll,0.0,1.0,1.0
alllriiiiight,1.0,0.0,1.0
allmighti,0.0,1.0,1.0
allo,3.0,1.0,4.0
alloc,4.0,3.0,7.0
alloimono,1.0,0.0,1.0
allot,13.0,7.0,20.0
allow,888.0,1070.0,1958.0
alloy,1.0,0.0,1.0
allr,9.0,0.0,9.0
allrdi,1.0,0.0,1.0
allright,3.0,3.0,6.0
allstat,0.0,1.0,1.0
allsuperb,0.0,1.0,1.0
alltim,1.0,1.0,2.0
alltogeth,0.0,1.0,1.0
allud,26.0,37.0,63.0
allur,20.0,39.0,59.0
allus,1.0,0.0,1.0
allway,1.0,0.0,1.0
allyc,1.0,0.0,1.0
allyn,0.0,1.0,1.0
allyson,2.0,1.0,3.0
allyway,1.0,0.0,1.0
alm,0.0,7.0,7.0
alma,11.0,3.0,14.0
almanesqu,0.0,1.0,1.0
almanzar,0.0,1.0,1.0
almasi,4.0,11.0,15.0
almast,1.0,0.0,1.0
almen,0.0,1.0,1.0
almendro,0.0,1.0,1.0
almereyda,1.0,0.0,1.0
almghandi,1.0,1.0,2.0
almight,1.0,1.0,2.0
almighti,9.0,10.0,19.0
almira,0.0,1.0,1.0
almod,2.0,2.0,4.0
almodovar,13.0,9.0,22.0
almondin,0.0,1.0,1.0
almoost,1.0,0.0,1.0
almora,0.0,1.0,1.0
almost,3158.0,3096.0,6254.0
alock,0.0,1.0,1.0
aloft,0.0,3.0,3.0
aloha,0.0,3.0,3.0
alohalani,1.0,0.0,1.0
aloi,1.0,0.0,1.0
alok,1.0,7.0,8.0
aloma,0.0,1.0,1.0
alon,953.0,964.0,1917.0
along,462.0,528.0,990.0
alongsid,38.0,44.0,82.0
alongwith,1.0,1.0,2.0
alonso,4.0,2.0,6.0
alonzo,1.0,3.0,4.0
aloo,0.0,1.0,1.0
aloof,15.0,21.0,36.0
alot,7.0,9.0,16.0
alotta,0.0,1.0,1.0
aloud,13.0,11.0,24.0
alow,1.0,0.0,1.0
alp,1.0,1.0,2.0
alpert,0.0,1.0,1.0
alpha,20.0,9.0,29.0
alphabet,3.0,2.0,5.0
alphavill,1.0,1.0,2.0
alphons,0.0,4.0,4.0
alpin,1.0,1.0,2.0
alpo,2.0,1.0,3.0
alqueda,0.0,1.0,1.0
alreadi,1472.0,1201.0,2673.0
alredi,0.0,2.0,2.0
alright,250.0,70.0,320.0
alriiight,1.0,0.0,1.0
alrit,1.0,0.0,1.0
alriyadh,1.0,0.0,1.0
alselmo,0.0,1.0,1.0
also,7177.0,10784.0,17961.0
alston,1.0,0.0,1.0
alt,5.0,1.0,6.0
alta,0.0,2.0,2.0
altagracia,0.0,1.0,1.0
altair,0.0,1.0,1.0
altaira,0.0,1.0,1.0
alten,1.0,0.0,1.0
alter,111.0,119.0,230.0
alterego,0.0,1.0,1.0
alterior,0.0,1.0,1.0
altern,176.0,191.0,367.0
alternant,0.0,1.0,1.0
alternativa,0.0,1.0,1.0
altho,3.0,1.0,4.0
althou,1.0,1.0,2.0
althought,1.0,0.0,1.0
altioklar,7.0,0.0,7.0
altman,36.0,48.0,84.0
altmanesqu,0.0,1.0,1.0
altogeth,124.0,109.0,233.0
alton,0.0,1.0,1.0
altought,2.0,0.0,2.0
altro,1.0,0.0,1.0
altruist,6.0,11.0,17.0
alucard,8.0,0.0,8.0
alucarda,1.0,1.0,2.0
alum,0.0,2.0,2.0
aluminum,1.0,0.0,1.0
alumni,4.0,1.0,5.0
alun,1.0,1.0,2.0
alva,0.0,1.0,1.0
alvarado,1.0,0.0,1.0
alvi,1.0,4.0,5.0
alvin,7.0,54.0,61.0
alwale,1.0,0.0,1.0
alway,2267.0,4067.0,6334.0
alwin,0.0,1.0,1.0
alwina,0.0,2.0,2.0
alx,1.0,0.0,1.0
alyn,1.0,4.0,5.0
alyson,1.0,6.0,7.0
alyssa,3.0,12.0,15.0
alzar,1.0,0.0,1.0
alzheim,4.0,4.0,8.0
am,3138.0,2652.0,5790.0
ama,1.0,0.0,1.0
amadeus,12.0,0.0,12.0
amaerican,0.0,1.0,1.0
amagula,0.0,1.0,1.0
amal,1.0,0.0,1.0
amalgam,2.0,1.0,3.0
amalia,0.0,7.0,7.0
amalio,0.0,1.0,1.0
amalr,2.0,0.0,2.0
aman,0.0,2.0,2.0
amanda,51.0,46.0,97.0
amang,1.0,0.0,1.0
amanhec,0.0,1.0,1.0
amann,1.0,0.0,1.0
amant,1.0,0.0,1.0
amar,0.0,11.0,11.0
amarjeet,0.0,1.0,1.0
amarna,0.0,1.0,1.0
amaro,1.0,0.0,1.0
amass,4.0,8.0,12.0
amateur,232.0,65.0,297.0
amateurish,386.0,44.0,430.0
amateurist,2.0,0.0,2.0
amati,1.0,3.0,4.0
amato,8.0,10.0,18.0
amatu,2.0,0.0,2.0
amatuerish,3.0,0.0,3.0
amaturish,1.0,0.0,1.0
amayao,1.0,0.0,1.0
amaz,857.0,2397.0,3254.0
amazin,0.0,1.0,1.0
amazon,13.0,25.0,38.0
amazonian,5.0,2.0,7.0
ambassador,2.0,2.0,4.0
amber,22.0,19.0,41.0
ambianc,2.0,2.0,4.0
ambidexter,0.0,1.0,1.0
ambient,11.0,12.0,23.0
ambigi,0.0,2.0,2.0
ambigu,55.0,107.0,162.0
ambit,2.0,1.0,3.0
ambiti,107.0,160.0,267.0
ambival,6.0,9.0,15.0
ambl,14.0,4.0,18.0
amboy,1.0,0.0,1.0
ambros,1.0,11.0,12.0
ambrosia,0.0,1.0,1.0
ambrosin,1.0,0.0,1.0
ambul,0.0,1.0,1.0
ambulatori,1.0,0.0,1.0
ambush,20.0,20.0,40.0
amc,4.0,5.0,9.0
ame,0.0,5.0,5.0
amech,1.0,4.0,5.0
ameican,0.0,1.0,1.0
ameila,1.0,0.0,1.0
ameircan,0.0,1.0,1.0
amel,1.0,0.0,1.0
ameli,5.0,7.0,12.0
amelia,14.0,3.0,17.0
amelio,0.0,4.0,4.0
amelior,2.0,2.0,4.0
amelod,0.0,1.0,1.0
amen,1.0,4.0,5.0
amenabar,4.0,4.0,8.0
amend,3.0,4.0,7.0
amer,1.0,1.0,2.0
ameragosa,1.0,0.0,1.0
amercan,0.0,1.0,1.0
amercian,1.0,1.0,2.0
ameriac,1.0,0.0,1.0
amerian,1.0,1.0,2.0
america,185.0,268.0,453.0
americain,1.0,0.0,1.0
american,2079.0,2570.0,4649.0
americana,1.0,2.0,3.0
americanim,1.0,0.0,1.0
americanis,0.0,4.0,4.0
americian,2.0,1.0,3.0
americn,0.0,1.0,1.0
amerikan,1.0,0.0,1.0
amerindian,1.0,0.0,1.0
ameriquest,0.0,1.0,1.0
amerterish,1.0,0.0,1.0
amforta,2.0,0.0,2.0
ami,87.0,74.0,161.0
amiabl,19.0,49.0,68.0
amic,4.0,3.0,7.0
amick,3.0,1.0,4.0
amicus,3.0,5.0,8.0
amidala,1.0,0.0,1.0
amidst,20.0,26.0,46.0
amiel,0.0,1.0,1.0
amigo,0.0,1.0,1.0
amile,0.0,1.0,1.0
amin,3.0,3.0,6.0
amir,5.0,44.0,49.0
amish,7.0,1.0,8.0
amisha,6.0,0.0,6.0
amiss,10.0,8.0,18.0
amistad,2.0,0.0,2.0
amit,0.0,1.0,1.0
amitabh,35.0,14.0,49.0
amitabhz,1.0,0.0,1.0
amithab,1.0,0.0,1.0
amitji,1.0,0.0,1.0
amityvill,17.0,12.0,29.0
amjad,1.0,0.0,1.0
amman,2.0,1.0,3.0
ammateur,1.0,0.0,1.0
ammityvill,0.0,1.0,1.0
ammmmm,0.0,1.0,1.0
ammo,3.0,2.0,5.0
ammunit,0.0,1.0,1.0
amnes,0.0,1.0,1.0
amnesia,4.0,7.0,11.0
amnesiac,3.0,7.0,10.0
amnesti,1.0,9.0,10.0
amnityvill,1.0,0.0,1.0
amo,8.0,18.0,26.0
amock,2.0,0.0,2.0
amoeba,1.0,0.0,1.0
amok,28.0,17.0,45.0
amon,0.0,1.0,1.0
amongst,84.0,90.0,174.0
amontillado,0.0,1.0,1.0
amor,40.0,61.0,101.0
amoretti,0.0,1.0,1.0
amorph,6.0,4.0,10.0
amoung,1.0,0.0,1.0
amount,58.0,30.0,88.0
amour,4.0,5.0,9.0
amp,10.0,10.0,20.0
ampa,2.0,1.0,3.0
amphetamin,2.0,0.0,2.0
amphibi,3.0,5.0,8.0
amphibian,0.0,2.0,2.0
amphibulo,1.0,0.0,1.0
amphitheatr,1.0,0.0,1.0
ampl,45.0,39.0,84.0
ampli,2.0,10.0,12.0
amplifi,15.0,25.0,40.0
amput,7.0,7.0,14.0
amrican,1.0,0.0,1.0
amrish,7.0,3.0,10.0
amrita,6.0,36.0,42.0
amruta,2.0,1.0,3.0
amsterdam,1.0,7.0,8.0
amsterdamn,1.0,0.0,1.0
amuck,4.0,2.0,6.0
amudha,0.0,5.0,5.0
amuro,0.0,1.0,1.0
amurrika,1.0,0.0,1.0
amus,661.0,545.0,1206.0
amyotroph,0.0,1.0,1.0
amyrilli,1.0,0.0,1.0
an,0.0,2.0,2.0
ana,9.0,5.0,14.0
anabell,0.0,1.0,1.0
anachron,6.0,2.0,8.0
anachronist,22.0,18.0,40.0
anaconda,5.0,2.0,7.0
anacron,1.0,0.0,1.0
anacronist,0.0,2.0,2.0
anaem,4.0,1.0,5.0
anaesthet,5.0,0.0,5.0
anaesthetis,0.0,1.0,1.0
anaglyph,1.0,0.0,1.0
anagram,0.0,1.0,1.0
anaheim,0.0,1.0,1.0
anai,0.0,2.0,2.0
anakin,5.0,9.0,14.0
anal,39.0,14.0,53.0
analag,1.0,0.0,1.0
analis,1.0,0.0,1.0
analog,4.0,5.0,9.0
analogu,0.0,1.0,1.0
analys,10.0,14.0,24.0
analyt,7.0,5.0,12.0
analyz,43.0,66.0,109.0
anamorph,10.0,15.0,25.0
anand,0.0,8.0,8.0
anania,1.0,0.0,1.0
ananka,1.0,0.0,1.0
anansa,1.0,3.0,4.0
anant,1.0,0.0,1.0
anarch,8.0,10.0,18.0
anarchi,0.0,5.0,5.0
anarchist,4.0,8.0,12.0
anarcho,2.0,0.0,2.0
anarct,0.0,1.0,1.0
anaren,3.0,0.0,3.0
anarquia,1.0,0.0,1.0
anastacia,0.0,1.0,1.0
anastasia,4.0,4.0,8.0
anathema,2.0,1.0,3.0
anathemat,1.0,0.0,1.0
anatol,1.0,3.0,4.0
anatoli,1.0,0.0,1.0
anatolian,1.0,0.0,1.0
anatom,7.0,4.0,11.0
anatomi,8.0,14.0,22.0
anatomist,0.0,1.0,1.0
anavel,0.0,1.0,1.0
anc,1.0,1.0,2.0
ancestr,3.0,7.0,10.0
ancestri,1.0,0.0,1.0
anchor,14.0,26.0,40.0
anchorman,9.0,6.0,15.0
anchorwoman,1.0,0.0,1.0
ancient,191.0,159.0,350.0
ancillari,7.0,5.0,12.0
ancona,0.0,1.0,1.0
and,4.0,1.0,5.0
anda,1.0,0.0,1.0
andaaz,0.0,2.0,2.0
andalou,1.0,0.0,1.0
andalucia,0.0,1.0,1.0
andalusian,4.0,2.0,6.0
andara,0.0,6.0,6.0
andaz,1.0,5.0,6.0
andcompel,1.0,0.0,1.0
andean,1.0,0.0,1.0
ander,0.0,1.0,1.0
andern,0.0,1.0,1.0
andersen,6.0,5.0,11.0
anderson,26.0,44.0,70.0
andersson,0.0,8.0,8.0
andi,150.0,204.0,354.0
andoheb,2.0,0.0,2.0
andoit,0.0,1.0,1.0
andoman,1.0,0.0,1.0
andr,24.0,60.0,84.0
andra,0.0,1.0,1.0
andrad,0.0,1.0,1.0
andrea,17.0,50.0,67.0
andreef,1.0,0.0,1.0
andreeff,1.0,0.0,1.0
andrei,7.0,14.0,21.0
andrej,1.0,0.0,1.0
andrejew,0.0,1.0,1.0
andrenalin,1.0,0.0,1.0
andretti,0.0,3.0,3.0
andrew,70.0,147.0,217.0
andrey,1.0,0.0,1.0
andro,1.0,0.0,1.0
androgin,1.0,0.0,1.0
androgyn,3.0,8.0,11.0
android,11.0,3.0,14.0
andromeda,2.0,0.0,2.0
andromina,1.0,0.0,1.0
androschin,0.0,1.0,1.0
androvski,0.0,1.0,1.0
andrus,1.0,0.0,1.0
andrzej,5.0,4.0,9.0
anecdot,3.0,5.0,8.0
anem,19.0,2.0,21.0
anenokoji,1.0,0.0,1.0
anestet,1.0,0.0,1.0
anesthesia,2.0,0.0,2.0
anesthet,3.0,5.0,8.0
aneta,0.0,1.0,1.0
aneurysm,2.0,0.0,2.0
aneven,0.0,1.0,1.0
anew,4.0,9.0,13.0
anextrem,2.0,0.0,2.0
anfractu,0.0,1.0,1.0
ang,10.0,10.0,20.0
angel,75.0,96.0,171.0
angela,59.0,83.0,142.0
angelica,7.0,4.0,11.0
angelika,4.0,1.0,5.0
angelina,25.0,21.0,46.0
angella,0.0,3.0,3.0
angelo,16.0,22.0,38.0
angelopoulo,2.0,4.0,6.0
angelpuss,0.0,1.0,1.0
angelwa,0.0,1.0,1.0
anger,46.0,53.0,99.0
angharad,2.0,0.0,2.0
angi,17.0,18.0,35.0
angkatel,0.0,3.0,3.0
angkor,3.0,1.0,4.0
angl,71.0,61.0,132.0
anglad,3.0,2.0,5.0
anglais,0.0,1.0,1.0
anglic,0.0,2.0,2.0
anglican,4.0,2.0,6.0
anglicis,1.0,0.0,1.0
anglifi,1.0,0.0,1.0
anglo,9.0,9.0,18.0
angola,1.0,1.0,2.0
angora,3.0,2.0,5.0
angri,389.0,272.0,661.0
angrier,8.0,0.0,8.0
angriest,1.0,1.0,2.0
angrili,12.0,14.0,26.0
angst,27.0,21.0,48.0
angsti,5.0,3.0,8.0
anguish,27.0,38.0,65.0
angular,4.0,8.0,12.0
angus,6.0,13.0,19.0
ani,1.0,0.0,1.0
ania,1.0,0.0,1.0
anic,0.0,1.0,1.0
anihili,0.0,1.0,1.0
anika,1.0,0.0,1.0
anil,31.0,8.0,39.0
anilji,2.0,0.0,2.0
anim,565.0,860.0,1425.0
animalist,0.0,8.0,8.0
animaniac,0.0,2.0,2.0
animatrix,0.0,4.0,4.0
animatron,4.0,9.0,13.0
anisio,0.0,2.0,2.0
aniston,5.0,3.0,8.0
anit,0.0,1.0,1.0
anita,22.0,27.0,49.0
anitra,1.0,0.0,1.0
anja,1.0,0.0,1.0
anjaam,0.0,1.0,1.0
anjaan,0.0,3.0,3.0
anjali,0.0,9.0,9.0
anjan,0.0,1.0,1.0
anjana,1.0,0.0,1.0
anjelica,4.0,7.0,11.0
anjelina,1.0,0.0,1.0
anji,0.0,1.0,1.0
anju,0.0,2.0,2.0
anka,1.0,0.0,1.0
ankh,2.0,1.0,3.0
ankhen,0.0,1.0,1.0
ankhnaten,0.0,2.0,2.0
ankl,5.0,3.0,8.0
anknaten,0.0,1.0,1.0
ankrum,1.0,0.0,1.0
ankush,0.0,5.0,5.0
anl,3.0,0.0,3.0
ann,177.0,318.0,495.0
anna,69.0,106.0,175.0
annabel,2.0,0.0,2.0
annabela,1.0,0.0,1.0
annabell,1.0,11.0,12.0
annabella,1.0,2.0,3.0
annabeth,1.0,0.0,1.0
annakin,3.0,2.0,5.0
annan,2.0,0.0,2.0
annell,0.0,1.0,1.0
annemari,3.0,0.0,3.0
annett,9.0,0.0,9.0
annex,2.0,1.0,3.0
anni,41.0,46.0,87.0
annib,0.0,6.0,6.0
annick,0.0,1.0,1.0
annihil,8.0,12.0,20.0
annik,1.0,0.0,1.0
annika,0.0,1.0,1.0
anniko,0.0,1.0,1.0
anniversari,8.0,18.0,26.0
anniyan,2.0,0.0,2.0
annna,0.0,1.0,1.0
annnndddddd,1.0,0.0,1.0
annnoth,1.0,0.0,1.0
anno,1.0,1.0,2.0
annonym,0.0,2.0,2.0
annot,2.0,0.0,2.0
annouc,0.0,1.0,1.0
announc,79.0,90.0,169.0
annoy,1775.0,478.0,2253.0
annoynim,1.0,0.0,1.0
annual,20.0,42.0,62.0
annud,1.0,0.0,1.0
annul,1.0,2.0,3.0
ano,0.0,1.0,1.0
anodyn,3.0,1.0,4.0
anodynesprech,0.0,1.0,1.0
anoint,2.0,0.0,2.0
anomal,1.0,2.0,3.0
anomi,0.0,1.0,1.0
anonym,54.0,36.0,90.0
anorect,1.0,0.0,1.0
anorex,10.0,7.0,17.0
anorexia,2.0,2.0,4.0
anothermaniacherewegoagain,0.0,1.0,1.0
anothw,1.0,0.0,1.0
anouk,1.0,1.0,2.0
anounc,1.0,0.0,1.0
anouska,2.0,0.0,2.0
anoy,1.0,0.0,1.0
ansara,1.0,0.0,1.0
anschel,1.0,0.0,1.0
ansel,0.0,2.0,2.0
anselm,0.0,1.0,1.0
anselmo,0.0,5.0,5.0
ansen,0.0,1.0,1.0
anson,1.0,0.0,1.0
answer,215.0,232.0,447.0
answerv,0.0,1.0,1.0
ant,20.0,24.0,44.0
antagon,6.0,3.0,9.0
antagonist,8.0,15.0,23.0
antaius,1.0,2.0,3.0
antal,1.0,1.0,2.0
antarct,3.0,8.0,11.0
antarctica,4.0,2.0,6.0
antart,2.0,1.0,3.0
anteced,1.0,1.0,2.0
antediluvian,0.0,1.0,1.0
antelop,3.0,0.0,3.0
antena,0.0,8.0,8.0
antenna,1.0,0.0,1.0
anterior,1.0,0.0,1.0
anthara,2.0,0.0,2.0
antheil,0.0,1.0,1.0
anthem,2.0,4.0,6.0
antholog,3.0,5.0,8.0
anthoni,65.0,62.0,127.0
anthonyu,0.0,1.0,1.0
anthrax,2.0,0.0,2.0
anthropocentr,1.0,1.0,2.0
anthropoid,0.0,1.0,1.0
anthropolog,1.0,5.0,6.0
anthropologist,4.0,0.0,4.0
anthropomorh,0.0,1.0,1.0
anthropomorph,6.0,5.0,11.0
anthropomorphis,1.0,1.0,2.0
anthropophag,1.0,0.0,1.0
anti,382.0,363.0,745.0
antic,3.0,3.0,6.0
antichrist,3.0,0.0,3.0
anticip,83.0,96.0,179.0
anticipatori,1.0,0.0,1.0
anticler,0.0,1.0,1.0
anticlimact,22.0,9.0,31.0
anticlimat,2.0,1.0,3.0
anticlimax,1.0,0.0,1.0
anticompetit,1.0,0.0,1.0
antidepress,1.0,0.0,1.0
antidot,1.0,0.0,1.0
antif,1.0,0.0,1.0
antiguo,1.0,0.0,1.0
antihero,2.0,1.0,3.0
antihippocrat,1.0,0.0,1.0
antimatt,2.0,0.0,2.0
antionioni,0.0,1.0,1.0
antipathet,1.0,1.0,2.0
antipathi,0.0,1.0,1.0
antipodean,0.0,2.0,2.0
antiqu,9.0,18.0,27.0
antiquarian,1.0,0.0,1.0
antirust,1.0,0.0,1.0
antisemit,4.0,1.0,5.0
antisept,0.0,3.0,3.0
antisoci,4.0,4.0,8.0
antitank,0.0,1.0,1.0
antithet,1.0,1.0,2.0
antitrust,6.0,0.0,6.0
antiwar,2.0,3.0,5.0
antoin,2.0,17.0,19.0
antoinett,0.0,2.0,2.0
anton,1.0,13.0,14.0
antonella,0.0,2.0,2.0
antoni,9.0,3.0,12.0
antonia,1.0,3.0,4.0
antonietta,0.0,4.0,4.0
antonik,0.0,1.0,1.0
antonio,20.0,40.0,60.0
antonioni,12.0,44.0,56.0
antonionian,0.0,1.0,1.0
antonius,2.0,0.0,2.0
antonutti,0.0,1.0,1.0
antra,3.0,1.0,4.0
antrax,0.0,1.0,1.0
antsi,3.0,1.0,4.0
antwerp,0.0,4.0,4.0
antwon,0.0,19.0,19.0
antwortet,1.0,0.0,1.0
antz,0.0,5.0,5.0
anu,1.0,9.0,10.0
anual,1.0,1.0,2.0
anubi,0.0,1.0,1.0
anulka,2.0,0.0,2.0
anupam,3.0,2.0,5.0
anurag,2.0,0.0,2.0
anus,2.0,0.0,2.0
anvil,4.0,0.0,4.0
anwar,0.0,17.0,17.0
anxieti,0.0,1.0,1.0
anxious,53.0,59.0,112.0
anya,1.0,0.0,1.0
anybodi,43.0,13.0,56.0
anycas,1.0,0.0,1.0
anycow,3.0,0.0,3.0
anyday,0.0,1.0,1.0
anyhoo,2.0,1.0,3.0
anyhow,26.0,11.0,37.0
anymor,326.0,251.0,577.0
anynom,1.0,0.0,1.0
anyon,1.0,0.0,1.0
anyplac,1.0,1.0,2.0
anyth,1.0,0.0,1.0
anytim,38.0,48.0,86.0
anytown,2.0,0.0,2.0
anywasi,0.0,1.0,1.0
anyway,1279.0,959.0,2238.0
anywayz,1.0,0.0,1.0
anywher,342.0,261.0,603.0
anywho,1.0,2.0,3.0
anywors,1.0,0.0,1.0
anzac,0.0,1.0,1.0
ao,0.0,2.0,2.0
aod,1.0,0.0,1.0
aoi,0.0,1.0,1.0
aoki,1.0,3.0,4.0
aol,0.0,5.0,5.0
aonn,0.0,1.0,1.0
aorta,0.0,1.0,1.0
aortic,2.0,1.0,3.0
aot,6.0,0.0,6.0
ap,3.0,3.0,6.0
apach,2.0,2.0,4.0
apal,5.0,1.0,6.0
apanowicz,0.0,1.0,1.0
apar,1.0,1.0,2.0
aparichit,0.0,1.0,1.0
aparna,1.0,16.0,17.0
apart,582.0,491.0,1073.0
apartheid,1.0,4.0,5.0
aparthi,1.0,3.0,4.0
aparthiet,0.0,1.0,1.0
apathet,26.0,14.0,40.0
apathi,7.0,5.0,12.0
apatow,0.0,1.0,1.0
ape,30.0,11.0,41.0
apec,0.0,2.0,2.0
apeman,0.0,1.0,1.0
apesh,0.0,1.0,1.0
apex,1.0,0.0,1.0
apharan,1.0,0.0,1.0
aphas,0.0,1.0,1.0
aphorist,0.0,2.0,2.0
aphrodesiac,1.0,0.0,1.0
aphrodisiac,0.0,1.0,1.0
aphrodit,3.0,3.0,6.0
apidistra,1.0,0.0,1.0
apiec,4.0,3.0,7.0
aplenti,8.0,6.0,14.0
aplomb,1.0,3.0,4.0
aplus,1.0,0.0,1.0
apn,1.0,0.0,1.0
apna,1.0,4.0,5.0
apocado,1.0,0.0,1.0
apocalyp,1.0,1.0,2.0
apocalyps,7.0,19.0,26.0
apocalypt,65.0,64.0,129.0
apocaplypt,0.0,1.0,1.0
apocryph,2.0,3.0,5.0
apodict,0.0,1.0,1.0
apolig,0.0,1.0,1.0
apolit,3.0,6.0,9.0
apollo,11.0,7.0,18.0
apollonia,1.0,2.0,3.0
apollonian,0.0,3.0,3.0
apolog,61.0,38.0,99.0
apologet,8.0,6.0,14.0
apologis,9.0,7.0,16.0
apologist,2.0,0.0,2.0
apophi,0.0,5.0,5.0
apoplect,1.0,2.0,3.0
apoplexi,0.0,2.0,2.0
aposs,1.0,0.0,1.0
apostl,2.0,1.0,3.0
apostroph,0.0,1.0,1.0
apothacari,0.0,1.0,1.0
apothecari,0.0,1.0,1.0
apotheosis,1.0,0.0,1.0
app,2.0,0.0,2.0
appaer,1.0,0.0,1.0
appal,302.0,53.0,355.0
appalachian,1.0,3.0,4.0
appaloosa,1.0,0.0,1.0
appar,1605.0,774.0,2379.0
apparant,1.0,0.0,1.0
apparatchik,1.0,1.0,2.0
apparatus,1.0,0.0,1.0
apparen,2.0,0.0,2.0
apparenlti,0.0,1.0,1.0
apparent,1.0,0.0,1.0
apparit,0.0,2.0,2.0
apparr,0.0,1.0,1.0
appart,1.0,1.0,2.0
appaul,1.0,0.0,1.0
appeal,389.0,411.0,800.0
appear,2075.0,1759.0,3834.0
appeas,17.0,18.0,35.0
append,2.0,2.0,4.0
apper,0.0,3.0,3.0
apperci,0.0,1.0,1.0
appet,3.0,2.0,5.0
appetit,3.0,6.0,9.0
appi,0.0,2.0,2.0
appl,0.0,2.0,2.0
applacian,1.0,0.0,1.0
applaud,61.0,77.0,138.0
applaus,2.0,4.0,6.0
applebaum,0.0,2.0,2.0
applebi,5.0,3.0,8.0
appleg,3.0,2.0,5.0
applese,1.0,0.0,1.0
applewhit,1.0,0.0,1.0
appli,136.0,154.0,290.0
applianc,0.0,1.0,1.0
applic,6.0,14.0,20.0
appoint,14.0,41.0,55.0
appolog,0.0,1.0,1.0
appolonia,1.0,1.0,2.0
apport,1.0,0.0,1.0
appos,2.0,3.0,5.0
apposit,1.0,5.0,6.0
appr,0.0,1.0,1.0
apprais,5.0,2.0,7.0
apprar,1.0,0.0,1.0
appreci,444.0,997.0,1441.0
appreciat,0.0,1.0,1.0
apprehend,4.0,17.0,21.0
apprehens,5.0,12.0,17.0
apprentic,3.0,2.0,5.0
appreti,0.0,1.0,1.0
apprici,1.0,0.0,1.0
apprieci,1.0,0.0,1.0
appris,0.0,3.0,3.0
approach,186.0,214.0,400.0
appropori,0.0,1.0,1.0
appropri,231.0,325.0,556.0
approv,45.0,57.0,102.0
approx,3.0,8.0,11.0
approxamit,1.0,0.0,1.0
approxi,1.0,0.0,1.0
approxiamt,1.0,0.0,1.0
approxim,55.0,32.0,87.0
apr,0.0,1.0,1.0
apreci,0.0,1.0,1.0
aprehens,0.0,1.0,1.0
apretenti,1.0,0.0,1.0
apricorn,0.0,1.0,1.0
april,20.0,41.0,61.0
apro,1.0,0.0,1.0
aproach,1.0,1.0,2.0
apron,1.0,2.0,3.0
apropo,3.0,8.0,11.0
aprov,0.0,2.0,2.0
aprox,1.0,0.0,1.0
apstein,1.0,0.0,1.0
apt,70.0,79.0,149.0
aqil,2.0,0.0,2.0
aqua,3.0,5.0,8.0
aquacad,0.0,1.0,1.0
aquafina,0.0,1.0,1.0
aquafresh,2.0,0.0,2.0
aquaman,0.0,1.0,1.0
aquarian,1.0,0.0,1.0
aquarium,1.0,2.0,3.0
aquarius,1.0,6.0,7.0
aquat,8.0,5.0,13.0
aquawhit,1.0,0.0,1.0
aquello,0.0,1.0,1.0
aquir,0.0,1.0,1.0
ar,11.0,17.0,28.0
arab,80.0,53.0,133.0
arabella,0.0,1.0,1.0
arabesqu,0.0,1.0,1.0
arabia,8.0,3.0,11.0
arabian,11.0,17.0,28.0
arachnid,2.0,0.0,2.0
arachnoid,0.0,1.0,1.0
arachnophobia,1.0,1.0,2.0
arado,1.0,0.0,1.0
arafat,1.0,0.0,1.0
aragami,2.0,0.0,2.0
aragon,1.0,0.0,1.0
aragorn,4.0,10.0,14.0
araki,1.0,0.0,1.0
arama,1.0,0.0,1.0
aranda,3.0,0.0,3.0
arau,0.0,2.0,2.0
arawak,1.0,0.0,1.0
arbaaz,2.0,0.0,2.0
arbi,2.0,0.0,2.0
arbitrari,41.0,18.0,59.0
arbitrarili,10.0,4.0,14.0
arbogast,1.0,1.0,2.0
arbor,1.0,0.0,1.0
arbour,2.0,4.0,6.0
arbuckl,2.0,6.0,8.0
arbus,7.0,1.0,8.0
arbuthnot,0.0,1.0,1.0
arbutni,0.0,1.0,1.0
arc,11.0,23.0,34.0
arcad,11.0,7.0,18.0
